batch_number,status,title,template_type,volume,kdi,tier,cluster_capture_potential,proposed_article_title,page_purpose,category
1,published,nopales,ingredient_hub,49500.0,29.0,Tier 1,49500.0,Nopale Recipe,seo_target,
1,published,porchetta,ingredient_hub,49500.0,29.0,Tier 1,49500.0,Porchetta Recipe,seo_target,
1,published,hot honey,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Hot Honey Recipe,seo_target,
1,published,nutter butter,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Nutter Butter Recipe,seo_target,
1,published,pumpernickel,ingredient_hub,49500.0,27.0,Tier 1,49500.0,Pumpernickel Recipe,seo_target,
1,published,hunan chicken,ingredient_hub,49500.0,27.0,Tier 1,49500.0,Hunan Chicken Recipe,seo_target,
1,published,purple sweet potato,recipe_or_dish,49500.0,22.0,Tier 1,49500.0,Purple Sweet Potato Recipe,seo_target,
1,published,banana peppers,ingredient_hub,49500.0,20.0,Tier 1,49500.0,Banana Pepper Recipe,seo_target,
1,published,ahi tuna,ingredient_hub,49500.0,24.0,Tier 1,49500.0,Ahi Tuna Recipe,seo_target,
1,published,japanese sweet potato,recipe_or_dish,49500.0,19.0,Tier 1,49500.0,Japanese Sweet Potato Recipe,seo_target,
1,published,air fryer recipes healthy,recipe_or_dish,49500.0,27.0,Tier 1,49500.0,Air Fryer Healthy Recipe,seo_target,
1,published,blackstone recipes,category_roundup,49500.0,23.0,Tier 1,49500.0,Blackstone Recipe,seo_target,
1,published,sazon seasoning,ingredient_hub,49500.0,26.0,Tier 1,49500.0,Sazon Seasoning Recipe,seo_target,
1,published,hanger steak,ingredient_hub,49500.0,27.0,Tier 1,49500.0,Hanger Steak Recipe,seo_target,
1,published,pollo asado,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Pollo Asado Recipe,seo_target,
1,published,mango lassi,ingredient_hub,49500.0,25.0,Tier 1,49500.0,Mango Lassi Recipe,seo_target,
1,published,what is dubai chocolate,definition,49500.0,29.0,Tier 1,49500.0,What Is Dubai Chocolate? (And How to Use It),seo_target,
1,published,carne asada marinade,recipe_or_dish,49500.0,29.0,Tier 1,49500.0,Carne Asada Marinade Recipe,seo_target,
1,published,ina garten brownie pudding,recipe_or_dish,49500.0,25.0,Tier 1,49500.0,Ina Garten Brownie Pudding Recipe,seo_target,
1,published,fava beans,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Fava Beans Recipe,seo_target,
1,published,baking tips,ingredient_hub,49500.0,26.0,Tier 1,49500.0,Baking Tip Recipe,seo_target,
1,published,american cheese,ingredient_hub,49500.0,25.0,Tier 1,49500.0,American Cheese Recipe,seo_target,
1,published,antipasto salad,ingredient_hub,49500.0,27.0,Tier 1,49500.0,Antipasto Salad Recipe,seo_target,
1,published,red wine vinegar,recipe_or_dish,49500.0,21.0,Tier 1,49500.0,"Red Wine Vinegar: Uses, Substitutes & Recipes",seo_target,sauces_condiments
1,published,how to steam dumplings,howto_technique,49500.0,29.0,Tier 1,49500.0,Steam Dumplings Recipe,seo_target,
1,published,fusilli,ingredient_hub,49500.0,29.0,Tier 1,49500.0,Fusilli Recipe,seo_target,
1,published,pecans,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Pecan Recipe,seo_target,
1,published,lemon drop recipe,recipe_or_dish,49500.0,29.0,Tier 1,49500.0,Lemon Drop Recipe,seo_target,
1,published,salmon internal temp,recipe_or_dish,49500.0,27.0,Tier 1,49500.0,Salmon Internal Temp Recipe,seo_target,
1,published,cannellini beans,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Cannellini Beans Recipe,seo_target,
1,published,escarole,ingredient_hub,49500.0,26.0,Tier 1,49500.0,Escarole Recipe,seo_target,
1,published,how to use a meat thermometer,howto_technique,49500.0,23.0,Tier 1,49500.0,Use Meat Thermometer Recipe,seo_target,
1,published,ninja creami recipes,recipe_or_dish,49500.0,25.0,Tier 1,49500.0,Ninja Creami Recipe,seo_target,
1,published,jello shot recipe,recipe_or_dish,49500.0,26.0,Tier 1,49500.0,jello shot recipe,seo_target,allrecipes_mobile_find
1,published,what is machaca,definition,49500.0,28.0,Tier 1,49500.0,What Is Machaca? (And How to Use It),seo_target,
1,published,navy beans,ingredient_hub,49500.0,28.0,Tier 1,49500.0,Navy Beans Recipe,seo_target,
1,published,musubi,ingredient_hub,49500.0,27.0,Tier 1,49500.0,Musubi Recipe,seo_target,
1,published,black beans canned,recipe_or_dish,49500.0,29.0,Tier 1,49500.0,Black Beans Canned Recipe,seo_target,
1,published,potstickers,ingredient_hub,49500.0,23.0,Tier 1,49500.0,Potsticker Recipe,seo_target,
1,published,daikon,ingredient_hub,49500.0,25.0,Tier 1,49500.0,Daikon Recipe,seo_target,
1,published,foods of the us,recipe_or_dish,49500.0,28.0,Tier 1,49500.0,Food Us Recipe,seo_target,
1,published,Easy Venezuelan Recipes at Home,recipe_or_dish,49500.0,18.0,Tier 1,49500.0,Venezuelan at Home Recipe,seo_target,
1,published,delmonico steak,ingredient_hub,49500.0,24.0,Tier 1,49500.0,Delmonico Steak Recipe,seo_target,
1,published,daniel fast,ingredient_hub,40500.0,26.0,Tier 1,40500.0,Daniel Fast Recipe,seo_target,
1,published,better than sex cake,recipe_or_dish,40500.0,27.0,Tier 1,40500.0,Better Than Sex Cake Recipe,seo_target,
1,published,paleo meal plan,recipe_or_dish,40500.0,25.0,Tier 1,40500.0,Paleo Meal Plan Recipe,seo_target,
1,published,arayes,ingredient_hub,40500.0,23.0,Tier 1,40500.0,Araye Recipe,seo_target,
1,published,best italian desserts,recipe_or_dish,40500.0,27.0,Tier 1,40500.0,Italian Dessert Recipe,seo_target,
1,published,beef shank,ingredient_hub,40500.0,27.0,Tier 1,40500.0,Beef Shank Recipe,seo_target,
1,published,india country food,recipe_or_dish,40500.0,25.0,Tier 1,40500.0,India Country Food Recipe,seo_target,
1,published,rainbow trout and,recipe_or_dish,40500.0,24.0,Tier 1,40500.0,Rainbow Trout Recipe,seo_target,
1,published,chilean sea bass,recipe_or_dish,40500.0,29.0,Tier 1,40500.0,Chilean Sea Bass Recipe,seo_target,
1,published,Chambord,ingredient_hub,40500.0,22.0,Tier 1,40500.0,Chambord Recipe,seo_target,
1,published,french martini,ingredient_hub,40500.0,29.0,Tier 1,40500.0,French Martini Recipe,seo_target,
1,published,top sirloin steak,recipe_or_dish,40500.0,21.0,Tier 1,40500.0,Top Sirloin Steak Recipe,seo_target,
1,published,bahama mama,ingredient_hub,40500.0,27.0,Tier 1,40500.0,Bahama Mama Recipe,seo_target,
1,published,Amaro,ingredient_hub,40500.0,27.0,Tier 1,40500.0,Amaro Recipe,seo_target,
1,published,black rice,ingredient_hub,40500.0,26.0,Tier 1,40500.0,Black Rice Recipe,seo_target,
1,published,parmesan crusted chicken,recipe_or_dish,40500.0,26.0,Tier 1,40500.0,Parmesan Crusted Chicken Recipe,seo_target,
1,published,Shishito Peppers,ingredient_hub,40500.0,27.0,Tier 1,40500.0,Shishito Pepper Recipe,seo_target,
1,published,radicchio,ingredient_hub,40500.0,28.0,Tier 1,40500.0,Radicchio Recipe,seo_target,
1,published,how to start meal prepping,howto_technique,40500.0,28.0,Tier 1,40500.0,Start Meal Prepping Recipe,seo_target,
1,published,coconut cream,ingredient_hub,40500.0,22.0,Tier 1,40500.0,Coconut Cream Recipe,seo_target,
1,published,halo halo,ingredient_hub,40500.0,26.0,Tier 1,40500.0,Halo Halo Recipe,seo_target,
1,published,ciabatta rolls,ingredient_hub,40500.0,26.0,Tier 1,40500.0,Ciabatta Roll Recipe,seo_target,
1,published,italian sausage,ingredient_hub,40500.0,23.0,Tier 1,40500.0,Italian Sausage Recipe,seo_target,
1,published,easy dutch recipes at home,recipe_or_dish,40500.0,24.0,Tier 1,40500.0,Dutch at Home Recipe,seo_target,
1,published,lentils dried,ingredient_hub,40500.0,17.0,Tier 1,40500.0,Lentils Dried Recipe,seo_target,
1,published,Pisco,ingredient_hub,40500.0,27.0,Tier 1,40500.0,Pisco Recipe,seo_target,
1,published,easy polish recipes at home,recipe_or_dish,40500.0,20.0,Tier 1,40500.0,Polish at Home Recipe,seo_target,
1,published,asparagus in the oven,recipe_or_dish,40500.0,28.0,Tier 1,40500.0,asparagus in the oven,seo_target,allrecipes_mobile_find
1,published,keju gruyere,ingredient_hub,40500.0,29.0,Tier 1,40500.0,Keju Gruyere Recipe,seo_target,
1,published,irish whiskey,ingredient_hub,40500.0,28.0,Tier 1,40500.0,Irish Whiskey Recipe,seo_target,
1,published,neapolitan pizza,ingredient_hub,40500.0,27.0,Tier 1,40500.0,Neapolitan Pizza Recipe,seo_target,
1,published,spatchcock chicken,ingredient_hub,40500.0,25.0,Tier 1,40500.0,Spatchcock Chicken Recipe,seo_target,
1,published,how long to boil chicken breast,howto_technique,40500.0,27.0,Tier 1,40500.0,Boil Chicken Breast Recipe,seo_target,
1,published,in n out burger recipe,recipe_or_dish,40500.0,21.0,Tier 1,40500.0,N Out Burger Recipe,seo_target,
1,published,kunafa,ingredient_hub,40500.0,25.0,Tier 1,40500.0,Kunafa Recipe,seo_target,
1,published,nigiri vs sashimi,comparison,40500.0,14.0,Tier 1,40500.0,Nigiri vs. Sashimi: What's the Difference?,seo_target,
1,published,mirliton,ingredient_hub,40500.0,18.0,Tier 1,40500.0,Mirliton Recipe,seo_target,
1,published,burger king whopper changes,recipe_or_dish,40500.0,25.0,Tier 1,40500.0,burger king whopper changes,seo_target,brand_news_reactive
1,published,quince fruit,ingredient_hub,40500.0,25.0,Tier 1,40500.0,Quince Fruit Recipe,seo_target,
1,published,dirty martini,ingredient_hub,40500.0,18.0,Tier 1,40500.0,Dirty Martini Recipe,seo_target,
1,published,sake,ingredient_hub,33100.0,21.0,Tier 1,33100.0,Sake Recipe,seo_target,
1,published,sushi bake recipe,recipe_or_dish,33100.0,29.0,Tier 1,33100.0,Sushi Bake Recipe,seo_target,
1,published,king crab legs,recipe_or_dish,33100.0,27.0,Tier 1,33100.0,King Crab Leg Recipe,seo_target,
1,published,chocolate milk,ingredient_hub,33100.0,29.0,Tier 1,33100.0,Chocolate Milk Recipe,seo_target,
1,published,baleadas,ingredient_hub,33100.0,27.0,Tier 1,33100.0,Baleada Recipe,seo_target,
1,published,vegan food,ingredient_hub,33100.0,19.0,Tier 1,33100.0,Vegan Food Recipe,seo_target,
1,published,easy belgian recipes at home,recipe_or_dish,33100.0,14.0,Tier 1,33100.0,Belgian at Home Recipe,seo_target,
1,published,what is tahini,definition,33100.0,27.0,Tier 1,33100.0,What Is Tahini? (And How to Use It),seo_target,
1,published,caster sugar,ingredient_hub,33100.0,29.0,Tier 1,33100.0,Caster Sugar Recipe,seo_target,
1,published,fish and chips and,recipe_or_dish,33100.0,28.0,Tier 1,33100.0,fish and chips and,seo_target,allrecipes_mobile_find
1,published,strawberry daiquiri,ingredient_hub,33100.0,27.0,Tier 1,33100.0,Strawberry Daiquiri Recipe,seo_target,
1,published,painkiller drink,ingredient_hub,33100.0,28.0,Tier 1,33100.0,Painkiller Drink Recipe,seo_target,
1,published,provolone,ingredient_hub,33100.0,29.0,Tier 1,33100.0,Provolone Recipe,seo_target,
1,published,tequila sunrise,ingredient_hub,33100.0,29.0,Tier 1,33100.0,Tequila Sunrise Recipe,seo_target,
1,published,Ouzo,ingredient_hub,33100.0,23.0,Tier 1,33100.0,Ouzo Recipe,seo_target,
1,published,german pancakes,ingredient_hub,33100.0,20.0,Tier 1,33100.0,German Pancakes Recipe,seo_target,
1,published,cup conversion chart,recipe_or_dish,33100.0,21.0,Tier 1,33100.0,Cup Conversion Chart Recipe,seo_target,
1,published,easy hungarian recipes at home,recipe_or_dish,33100.0,25.0,Tier 1,33100.0,Hungarian at Home Recipe,seo_target,
1,published,non alcoholic wine,recipe_or_dish,33100.0,24.0,Tier 1,33100.0,Non Alcoholic Wine Recipe,seo_target,
1,published,chicken al pastor,recipe_or_dish,33100.0,25.0,Tier 1,33100.0,Chicken Al Pastor Recipe,seo_target,
1,published,Sambuca,ingredient_hub,33100.0,17.0,Tier 1,33100.0,Sambuca Recipe,seo_target,
1,published,mango ice cream,recipe_or_dish,33100.0,29.0,Tier 1,33100.0,Mango Ice Cream Recipe,seo_target,
1,published,fernet,ingredient_hub,33100.0,16.0,Tier 1,33100.0,Fernet Recipe,seo_target,
1,published,sugar and cane,recipe_or_dish,33100.0,22.0,Tier 1,33100.0,Sugar Cane Recipe,seo_target,
1,published,chicken broccoli rice casserole,recipe_or_dish,33100.0,27.0,Tier 1,33100.0,Chicken Broccoli Rice Casserole Recipe,seo_target,
1,published,banana bread recipe with yogurt,recipe_or_dish,33100.0,25.0,Tier 1,33100.0,Banana Bread Yogurt Recipe,seo_target,
1,published,gelato vs ice cream,comparison,33100.0,26.0,Tier 1,33100.0,Gelato vs. Ice Cream: What's the Difference?,seo_target,
1,published,little debbie soft baked cookies,recipe_or_dish,33100.0,23.0,Tier 1,33100.0,little debbie soft baked cookies,seo_target,allrecipes_mobile_find
1,published,minced garlic,ingredient_hub,33100.0,18.0,Tier 1,33100.0,Minced Garlic Recipe,seo_target,
1,published,crudite,ingredient_hub,33100.0,25.0,Tier 1,33100.0,Crudite Recipe,seo_target,
1,published,costco meat product alert,recipe_or_dish,33100.0,29.0,Tier 1,33100.0,costco meat product alert,seo_target,brand_news_reactive
1,published,bonito flakes,ingredient_hub,33100.0,27.0,Tier 1,33100.0,Bonito Flake Recipe,seo_target,
1,published,croque madame,ingredient_hub,33100.0,25.0,Tier 1,33100.0,Croque Madame Recipe,seo_target,
1,published,veal,ingredient_hub,33100.0,29.0,Tier 1,33100.0,Veal Recipe,seo_target,
1,published,Grappa,ingredient_hub,33100.0,28.0,Tier 1,33100.0,Grappa Recipe,seo_target,
1,published,how to make milk butter,howto_technique,33100.0,25.0,Tier 1,33100.0,how to make milk butter,seo_target,allrecipes_mobile_find
1,published,amaretto sour recipe,recipe_or_dish,33100.0,23.0,Tier 1,33100.0,Amaretto Sour Recipe,seo_target,
1,published,jerk seasoning,ingredient_hub,33100.0,17.0,Tier 1,33100.0,Jerk Seasoning Recipe,seo_target,
1,published,swedish fish,ingredient_hub,33100.0,21.0,Tier 1,33100.0,Swedish Fish Recipe,seo_target,
1,published,breve,ingredient_hub,33100.0,14.0,Tier 1,33100.0,Breve Recipe,seo_target,
1,published,healthy children's snack,recipe_or_dish,33100.0,29.0,Tier 1,33100.0,Healthy Children Snack Recipe,seo_target,
1,published,butterscotch,ingredient_hub,33100.0,29.0,Tier 1,33100.0,Butterscotch Recipe,seo_target,
1,published,crumpet crumpet,ingredient_hub,33100.0,29.0,Tier 1,33100.0,Crumpet Crumpet Recipe,seo_target,
1,published,easy breakfast ideas for kids,recipe_or_dish,33100.0,18.0,Tier 1,33100.0,Breakfast Idea Kid Recipe,seo_target,
1,published,hypnotic drink,ingredient_hub,33100.0,18.0,Tier 1,33100.0,Hypnotic Drink Recipe,seo_target,
1,published,capellini,ingredient_hub,33100.0,28.0,Tier 1,33100.0,Capellini Recipe,seo_target,
1,published,cara cara orange,recipe_or_dish,33100.0,26.0,Tier 1,33100.0,Cara Cara Orange Recipe,seo_target,
1,published,hungarian goulash,ingredient_hub,33100.0,25.0,Tier 1,33100.0,Hungarian Goulash Recipe,seo_target,
1,published,basic syrup,ingredient_hub,33100.0,26.0,Tier 1,33100.0,Basic Syrup Recipe,seo_target,
1,published,fried green tomatoes recipe,recipe_or_dish,33100.0,26.0,Tier 1,33100.0,fried green tomatoes recipe,seo_target,allrecipes_mobile_find
1,published,pasta shapes,ingredient_hub,33100.0,28.0,Tier 1,33100.0,pasta shapes,seo_target,allrecipes_mobile_find
1,published,is heavy cream the same as heavy whipping cream,recipe_or_dish,33100.0,28.0,Tier 1,33100.0,Heavy Cream Same As Heavy Whipping Cream Recipe,seo_target,
1,published,pork rinds,ingredient_hub,33100.0,27.0,Tier 1,33100.0,Pork Rind Recipe,seo_target,
1,published,olive oil,ingredient_hub,33100.0,29.0,Tier 1,33100.0,Olive Oil Recipe,seo_target,
1,published,tea thai tea,recipe_or_dish,33100.0,18.0,Tier 1,33100.0,Tea Thai Tea Recipe,seo_target,
1,published,triple sec,ingredient_hub,33100.0,24.0,Tier 1,33100.0,Triple Sec Recipe,seo_target,
1,published,cajeta,ingredient_hub,33100.0,26.0,Tier 1,33100.0,"Cajeta: Uses, Substitutes & Recipes",seo_target,cuisine_specialty
1,published,kadayif,ingredient_hub,33100.0,18.0,Tier 1,33100.0,Kadayif Recipe,seo_target,
1,published,brie cheese and,recipe_or_dish,33100.0,27.0,Tier 1,33100.0,brie cheese and,seo_target,keyword_gap_find
1,published,chow mein vs lo mein,comparison,33100.0,27.0,Tier 1,33100.0,Chow Mein vs. Lo Mein: What's the Difference?,seo_target,
1,published,Blood Sausage,ingredient_hub,27100.0,20.0,Tier 1,27100.0,Blood Sausage Recipe,seo_target,
1,published,easy middle eastern recipes,recipe_or_dish,27100.0,28.0,Tier 1,27100.0,Middle Eastern Recipe,seo_target,
1,published,how to make jello shots,howto_technique,27100.0,24.0,Tier 1,27100.0,Jello Shot Recipe,seo_target,
1,published,bread machine recipes,recipe_or_dish,27100.0,27.0,Tier 1,27100.0,Bread Machine Recipe,seo_target,
1,published,biscottiamo,ingredient_hub,27100.0,26.0,Tier 1,27100.0,Biscottiamo Recipe,seo_target,
1,published,steak temperatures,ingredient_hub,27100.0,25.0,Tier 1,27100.0,Steak Temperature Recipe,seo_target,
1,published,truffle butter,ingredient_hub,27100.0,26.0,Tier 1,27100.0,Truffle Butter Recipe,seo_target,
1,published,cosmic crisp apple,recipe_or_dish,27100.0,26.0,Tier 1,27100.0,cosmic crisp apple,seo_target,allrecipes_mobile_find
1,published,rugelach,ingredient_hub,27100.0,29.0,Tier 1,27100.0,Rugelach Recipe,seo_target,
1,published,manchego cheese,ingredient_hub,27100.0,20.0,Tier 1,27100.0,Manchego Cheese Recipe,seo_target,
1,published,cheese pizza,ingredient_hub,27100.0,26.0,Tier 1,27100.0,Cheese Pizza Recipe,seo_target,
1,published,best smoothie recipes for energy,recipe_or_dish,27100.0,25.0,Tier 1,27100.0,best smoothie recipes for energy,seo_target,allrecipes_mobile_find
1,published,peri peri chicken,recipe_or_dish,27100.0,27.0,Tier 1,27100.0,Peri Peri Chicken Recipe,seo_target,
1,published,Wahoo Fish,ingredient_hub,27100.0,23.0,Tier 1,27100.0,Wahoo Fish Recipe,seo_target,
1,published,fennel and fennel seeds,recipe_or_dish,27100.0,25.0,Tier 1,27100.0,Fennel Fennel Seed Recipe,seo_target,
1,published,sunday dinner ideas,recipe_or_dish,27100.0,29.0,Tier 1,27100.0,Sunday Dinner Idea Recipe,seo_target,
1,published,lasagna noodles,ingredient_hub,27100.0,23.0,Tier 1,27100.0,Lasagna Noodles Recipe,seo_target,
1,published,160 c to f,recipe_or_dish,27100.0,29.0,Tier 1,27100.0,160 C F Recipe,seo_target,
1,published,nestle chocolate chip cookie recipe,recipe_or_dish,27100.0,26.0,Tier 1,27100.0,Nestle Chocolate Chip Cookie Recipe,seo_target,
1,published,sunchoke,ingredient_hub,27100.0,22.0,Tier 1,27100.0,Sunchoke Recipe,seo_target,
1,published,chile guajillo,ingredient_hub,27100.0,20.0,Tier 1,27100.0,Chile Guajillo Recipe,seo_target,
